"timestamp","node_ids","platform","parameter"
1730881331,"{A,Q,E,-,1,1,1,2,5,6,6,2,1,1}","mobius","[Parameter(name='pm25', min=10.0, max=20.0), Parameter(name='pm10', min=20.0, max=50.0)]"
1730884640,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730884760,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730887580,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889250,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889490,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889820,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889821,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889822,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889823,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889824,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889825,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889827,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889828,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889829,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889830,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889831,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889832,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889833,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889834,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889835,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889836,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889837,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889838,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889839,"{N,o,d,e,1,4,5,4,3,2,1,3,4}","om2m","[Parameter(name='pm25', min=10.0, max=20.0)]"
1730893699,"{A,Q,-,1,0,1,0,1,0,1,"","",n,o,d,e,-,1,0,2,0,1,-,1,0}","om2m","[Parameter(name='PM25', min=10.0, max=40.0)],[Parameter(name='pm10', min=69.0, max=70.0)]"
1730893803,"{A,Q,-,1,0,1,0,1,0,1,"","",N,o,d,e,-,1,1,0,3,0,4}","om2m","[Parameter(name='PM25', min=10.0, max=40.0)],[Parameter(name='pm10', min=69.0, max=70.0)]"
1730893944,"{A,Q,-,1,6,1,1}","ccsp","[Parameter(name='PM25', min=10.0, max=40.0)]"
1730894005,"{A,Q,-,1,6,1,1}","ccsp","[Parameter(name='PM25', min=10.0, max=40.0)]"
1731044792,"{A,Q,-,1,1,0,1,0,1,0,1,0,1}","ccsp","[Parameter(name='pm25', min=10.0, max=20.0)]"
1731132211,"{N,o,d,e,_,1,1}","om2m","[pm25,223"
1731133089,"{Node_11}","om2m","[pm25,223"
1731133189,"{Node_11,Node_1231231}","om2m","[pm25,223"
1731133485,"{E,l,l,o,1,2,3,4}","ccsp","[Parameter(name='pm25', min=10.0, max=20.0)]"
1731133590,"{E,l,l,o,1,2,3,4,"","",E,Q,W,E,1,2,1,3,1,3}","ccsp","[Parameter(name='pm25', min=10.0, max=20.0)],[Parameter(name='pm25', min=10.0, max=20.0)]"
1731133662,"{E,l,l,o,1,2,3,4,"","",E,Q,W,E,1,2,1,3,1,3}","ccsp","[Parameter(name='pm25', min=10.0, max=20.0)],[Parameter(name='pm25', min=10.0, max=20.0)]"
1731133702,"{E,l,l,o,1,2,3,4,"","",E,Q,W,E,1,2,1,3,1,3}","ccsp","[Parameter(name='pm25', min=10.0, max=20.0)],[Parameter(name='pm25', min=10.0, max=20.0)]"
1731133728,"{Ello1234,EQWE121313}","ccsp","[Parameter(name='pm25', min=10.0, max=20.0)],[Parameter(name='pm25', min=10.0, max=20.0)]"
