timestamp,node_ids,platform,parameter
1730889836,['Node145432134'],om2m,"[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889837,['Node145432134'],om2m,"[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889838,['Node145432134'],om2m,"[Parameter(name='pm25', min=10.0, max=20.0)]"
1730889839,['Node145432134'],om2m,"[Parameter(name='pm25', min=10.0, max=20.0)]"
1730893699,"['AQ-1010101""""node-10201-10']",om2m,"[Parameter(name='PM25', min=10.0, max=40.0)],[Parameter(name='pm10', min=69.0, max=70.0)]"
1730893803,"['AQ-1010101""""Node-110304']",om2m,"[Parameter(name='PM25', min=10.0, max=40.0)],[Parameter(name='pm10', min=69.0, max=70.0)]"
1730893944,['AQ-1611'],ccsp,"[Parameter(name='PM25', min=10.0, max=40.0)]"
1730894005,['AQ-1611'],ccsp,"[Parameter(name='PM25', min=10.0, max=40.0)]"
1731044792,['AQ-1101010101'],ccsp,"[Parameter(name='pm25', min=10.0, max=20.0)]"
1731132211,['Node_11'],om2m,"[pm25,223"
1731133089,{Node_11},om2m,"[pm25,223"
1731133189,['Node_11Node_1231231'],om2m,"[pm25,223"
1731133485,['Ello1234'],ccsp,"[Parameter(name='pm25', min=10.0, max=20.0)]"
1731133590,"['Ello1234""""EQWE121313']",ccsp,"[Parameter(name='pm25', min=10.0, max=20.0)],[Parameter(name='pm25', min=10.0, max=20.0)]"
1731133662,"['Ello1234""""EQWE121313']",ccsp,"[Parameter(name='pm25', min=10.0, max=20.0)],[Parameter(name='pm25', min=10.0, max=20.0)]"
1731133702,"['Ello1234""""EQWE121313']",ccsp,"[Parameter(name='pm25', min=10.0, max=20.0)],[Parameter(name='pm25', min=10.0, max=20.0)]"
1731133728,['Ello1234EQWE121313'],ccsp,"[Parameter(name='pm25', min=10.0, max=20.0)],[Parameter(name='pm25', min=10.0, max=20.0)]"
